ID_Joueur;Poste;Period Name;Date;Jour;Unnamed: 5;TAGS;Semaine;Nombre de sance;Period Number;TDJ;MinutesJoues;Duration;Dure;Dist;Distance - Z1;Distance - Z1-2;Distance - Z1-3;Distance - Z1-3/min;Distance - Z2;Distance - Z2-4;Distance - Z2-6;Distance - Z3;Distance - Z3-6;Distance - Z4;HID 16;Distance - Z4-6/min;Distance - Z5;HID 21;Distance - Z5-6/min;Sup 24;% Marche;Running (Z3-4);Jogging & Walking (Z1-2);High Speed Running (Z5-6);High Speed Running (Z4-6);Speed - Avg;Speed - Avg (m/min);Speed - Avg (yard/min);%Vmax;Vmax;Speed Exertion;Speed Exertion /min;Accel Load;Accel Load - Density;Accel Load.1;Accel - Z1;Accel - Z1-3;Accel - Z1-3/min;Accel - Z2;Accel - Z2-3;Accel - % Z2-3;Accel - Z2-3/min;Accel - Z3;Accel - % Z3;Decel - Z1;Decel - Z1-3;Decel - Z1-3/min;Decel - Z2;Decel - Z2-3;Decel Z2-3/min;Decel - Z3;HR Exertion;HML Dist;% HMLD;Met. Load - Distance;Collisions;Running Imbalance
0;LAT;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;1;0,05;72,07;01:57:15;117;7670,03;3371,3;5114,59;6391,33;88,68;1743,29;3855,98;4298,62;1276,74;2555,33;835,95;1278,59;17,74;322,73;442,64;6,14;119,91;43,95;2112,69;5114,59;442,64;1278,59;6,38;106,42;116,38;329,88;26,94;66,16;0,92;2150,6;0,5;2,8;41;45;0,62;4;4;8,89;0,06;0;0;40;60;0,83;17;20;0,28;3;4324,91;1975,58;25,76;7669,93;5;-2,98
1;ATT;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;1;0,051;73,67;01:57:15;117;8442,75;2947,5;5555,53;7272,32;98,7;2608,03;5224,64;5495,31;1716,79;2887,28;899,82;1170,49;15,89;243,09;270,67;3,67;27,58;34,91;2616,61;5555,53;270,67;1170,49;6,88;114,58;125,31;375,74;25,54;82,53;1,12;2478,07;0,56;2,94;46;46;0,62;0;0;0;0;0;0;59;81;1,1;15;22;0,3;7;4420,98;2260,82;26,78;8442,81;9;-2,76
2;M;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;2;0,042;60;01:00:00;60;3954,07;1390,4;2465,28;2825,99;47,1;1074,88;2553,32;2563,68;360,71;1488,8;1117,73;1128,09;18,8;10,36;10,36;0,17;0;35,16;1478,44;2465,28;10,36;1128,09;3,95;65,9;72,07;263,11;21,2;35,52;0,59;1071,82;0,3;2,71;21;21;0,35;0;0;0;0;0;0;2;2;0,03;0;0;0;0;3554,29;1208,42;30,56;3954,07;6;-2,77
3;LAT;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;2;0,041;58,38;01:57:15;117;6879,7;2512,45;4303,47;5591,57;95,75;1791,02;3862,01;4365,05;1288,1;2574,03;782,89;1285,93;22,02;312,62;503,04;8,61;190,42;36,52;2070,99;4303,47;503,04;1285,93;7,07;117,8;128,83;387,66;31,12;68,4;1,17;1996,35;0,57;2,9;36;41;0,7;5;5;12,2;0,09;0;0;38;60;1,03;13;22;0,38;9;3503,98;1959,41;28,48;6879,97;16;0,55
4;DC;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;3;0,048;69,2;01:57:15;117;7677,19;3340,08;5275,38;6660,19;96,24;1935,3;4107,61;4334,21;1384,81;2398,91;787,5;1014,1;14,65;177,92;226,6;3,27;48,68;43,51;2172,31;5275,38;226,6;1014,1;6,66;110,94;121,32;335,6;27,97;59,41;0,86;2057,88;0,5;2,68;28;28;0,4;0;0;0;0;0;0;43;50;0,72;7;7;0,1;0;4151,98;1743,79;22,71;7677,08;2;-1,45
5;M;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;3;0,037;52,95;00:52:57;53;6014,67;1966,22;4072,85;5293,35;99,97;2106,63;3829,97;4048,18;1220,5;1941,55;502,84;721,05;13,62;149,53;218,21;4,12;68,68;32,69;1723,34;4072,85;218,21;721,05;6,82;113,59;124,23;377,7;26,65;58,28;1,1;1624,07;0,51;2,7;21;21;0,4;0;0;0;0;0;0;20;27;0,51;5;7;0,13;2;3176,98;1398,94;23,26;6014,67;6;7,52
6;LAT;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;3;0,051;73,17;01:57:15;117;8221,34;3097,88;5503,95;6994,42;95,58;2406,07;4655,78;5123,45;1490,47;2717,38;759,24;1226,91;16,77;381,95;467,67;6,39;85,72;37,68;2249,71;5503,95;467,67;1226,91;6,74;112,34;122,86;364,22;26,81;81,16;1,11;2301,94;0,52;2,8;38;41;0,56;3;3;7,32;0,04;0;0;45;61;0,83;12;16;0,22;4;4390,97;2121,73;25,81;8221,33;4;2,02
7;DC;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;3;0,033;47,8;00:47:48;48;4937,28;1912,33;3295,07;4319,32;90,36;1382,74;2851,65;3024,91;1024,25;1642,17;444,66;617,92;12,93;146,81;173,26;3,62;26,45;38,73;1468,91;3295,07;173,26;617,92;6,2;103,29;112,96;389,2;25,95;37,06;0,78;1563,32;0,55;3,17;31;32;0,67;1;1;3,13;0,02;0;0;35;58;1,21;18;23;0,48;5;2868,05;1303,34;26,4;4937,25;9;3,73
8;ATT;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;3;0,048;68,77;01:57:15;117;7703,01;3250,98;5433,22;6833,25;99,36;2182,24;4223,14;4451,73;1400,03;2269,49;640,87;869,46;12,64;222,53;228,59;3,32;6,06;42,2;2040,9;5433,22;228,59;869,46;6,72;112,01;122,5;288,55;24,37;63,91;0,93;2158,23;0,52;2,8;41;42;0,61;1;1;2,38;0,01;0;0;36;44;0,64;6;8;0,12;2;4125,98;1756,15;22,8;7702,72;2;-4,58
9;M;AM01;08/08/2020;samedi;6- Samedi;F/ Jmatch;Sem 32 2020;1.0;3;0,05;71,57;01:57:15;117;7442,99;3077,81;5583,57;7008,24;97,92;2505,76;4303,44;4364,92;1424,67;1859,16;373,01;434,49;6,07;36,14;61,48;0,86;25,34;41,35;1797,68;5583,57;61,48;434,49;6,24;103,99;113,73;415,05;29,75;61,18;0,85;2209,22;0,51;2,97;24;25;0,35;1;1;4;0,01;0;0;35;43;0,6;7;8;0,11;1;4308,1;1444,9;19,41;7443,59;11;-6,87
